feature,importance
P_DPQ__DPQ010_Have_little_interest_in_doing_things_3.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_3.0,0.0
P_HEPA__LBXHA_Hepatitis_A_antibody_3.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_1.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_2.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_3.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_1.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_2.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_3.0,0.0
P_DPQ__DPQ050_Poor_appetite_or_overeating_1.0,0.0
P_DPQ__DPQ050_Poor_appetite_or_overeating_3.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_3.0,0.0
P_HEPA__LBXHA_Hepatitis_A_antibody_2.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_2.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_3.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_2.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_3.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_1.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_2.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_3.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_1.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_2.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_3.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_2.0,0.0
P_DBQ__DBQ940_Main_food_shopper_2.0,0.0
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_2.0,0.0
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_1.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_7.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_8.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_9.0,0.0
P_ALQ__ALQ111_Ever_had_a_drink_of_any_kind_of_alcohol_2.0,0.0
P_HEPE__LBDHEM_Hepatitis_E_IgM_anti_HEV_2.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_2.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_3.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_4.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_5.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_6.0,0.0
P_HEPE__LBDHEG_Hepatitis_E_IgG_anti_HEV_2.0,0.0
P_DBQ__DBQ935_Shared_meal_planning_preparing_duty_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_4.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_4.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_5.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_1.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_3.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_3.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_4.0,0.0
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_2.0,0.0
P_DBQ__CBQ596_Heard_of_My_Plate_2.0,0.0
P_DBQ__DBQ930_Main_meal_planner_preparer_2.0,0.0
P_FSQ__FSDHH_Household_food_security_category_2.0,0.0
P_FSQ__FSDHH_Household_food_security_category_4.0,0.0
P_MCQ__MCQ160D_9.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_9.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_3.0,0.0
P_KIQ_U__KIQ022_Ever_told_you_had_weak_failing_kidneys_2.0,0.0
P_KIQ_U__KIQ026_Ever_had_kidney_stones_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_2.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_5.0,0.0
P_KIQ_U__KIQ042_Leak_urine_during_physical_activities_2.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_9.0,0.0
P_KIQ_U__KIQ046_Leak_urine_during_nonphysical_activities_2.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_2.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_9.0,0.0
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_3.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_4.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_5.0,0.0
P_MCQ__MCQ010_Ever_been_told_you_have_asthma_2.0,0.0
P_MCQ__MCQ053_Taking_treatment_for_anemia_past_3_mos_2.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_9.0,0.0
P_MCQ__MCQ092_Ever_receive_blood_transfusion_2.0,0.0
P_MCQ__MCQ160A_9.0,0.0
P_MCQ__MCQ160B_2.0,0.0
P_MCQ__MCQ160B_9.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_5.0,0.0
P_MCQ__MCQ160D_2.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_2.0,0.0
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_2.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_2.0,0.0
P_FASTQX__PHQ050_Antacids_laxatives_or_anti_diarrheals_2.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_3.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_4.0,0.0
P_FSQ__FSQ165_HH_FS_benefit_ever_received_2.0,0.0
P_FSQ__FSD162_HH_WIC_benefit_receive_in_last_12_month_2.0,0.0
P_HEQ__HEQ010_Ever_told_you_have_Hepatitis_B_2.0,0.0
P_HEQ__HEQ030_Ever_told_you_have_Hepatitis_C_2.0,0.0
P_HIQ__HIQ011_Covered_by_health_insurance_2.0,0.0
P_HIQ__HIQ270_Do_plans_cover_prescriptions_2.0,0.0
P_HIQ__HIQ210_Time_when_no_insurance_in_past_year_2.0,0.0
P_HSQ__HSQ590_Blood_ever_tested_for_HIV_virus_2.0,0.0
P_FASTQX__PHQ060_Dietary_supplements_2.0,0.0
P_HUQ__HUQ010_General_health_condition_5.0,0.0
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_2.0,0.0
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_2.0,0.0
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_3.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_2.0,0.0
