feature,importance
P_DEMO__DMDMARTZ_Marital_status_77.0,0.0
P_DEMO__DMDMARTZ_Marital_status_99.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_2.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_3.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_4.0,0.0
P_BPXO__BPAOARM_Arm_selected_oscillometric_R,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_3.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_4.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_5.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_5.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_8.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_5.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_3.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_2.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_3.0,0.0
P_FSQ__FSDHH_Household_food_security_category_2.0,0.0
P_FSQ__FSDHH_Household_food_security_category_3.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_2.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_3.0,0.0
P_FSQ__FSD162_HH_WIC_benefit_receive_in_last_12_month_2.0,0.0
P_HEQ__HEQ030_Ever_told_you_have_Hepatitis_C_2.0,0.0
P_HIQ__HIQ011_Covered_by_health_insurance_2.0,0.0
P_HIQ__HIQ210_Time_when_no_insurance_in_past_year_2.0,0.0
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_3.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_5.0,0.0
P_HUQ__HUQ071_Overnight_hospital_patient_in_last_year_2.0,0.0
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_2.0,0.0
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_3.0,0.0
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_3.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_2.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_3.0,0.0
P_KIQ_U__KIQ022_Ever_told_you_had_weak_failing_kidneys_2.0,0.0
P_KIQ_U__KIQ026_Ever_had_kidney_stones_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_3.0,0.0
