,mean_abs_shap
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_4.0,0.0
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_2.0,0.006623843069239628
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_3.0,0.002350164544241234
P_DBQ__CBQ596_Heard_of_My_Plate_2.0,0.01237860552392771
P_DBQ__DBQ930_Main_meal_planner_preparer_2.0,0.0
P_DBQ__DBQ935_Shared_meal_planning_preparing_duty_2.0,0.007505477108317506
P_DBQ__DBQ940_Main_food_shopper_2.0,0.0
P_DBQ__DBQ945_Shared_food_shopping_duty_2.0,0.0016983763215647626
P_DPQ__DPQ010_Have_little_interest_in_doing_things_1.0,0.0025730725365672603
P_DPQ__DPQ010_Have_little_interest_in_doing_things_2.0,0.0011328916233802541
P_DPQ__DPQ010_Have_little_interest_in_doing_things_3.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_1.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_2.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_3.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_1.0,0.00025149816311175296
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_2.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_3.0,0.00952687182238363
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_1.0,0.005928748494656311
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_2.0,0.000825494740615541
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_3.0,0.0
P_DPQ__DPQ050_Poor_appetite_or_overeating_1.0,0.0017880917419954123
P_DPQ__DPQ050_Poor_appetite_or_overeating_2.0,0.0005800755418981545
P_DPQ__DPQ050_Poor_appetite_or_overeating_3.0,0.0021395148826648374
P_DPQ__DPQ060_Feeling_bad_about_yourself_1.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_2.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_3.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_1.0,0.00662554877935499
P_DPQ__DPQ070_Trouble_concentrating_on_things_2.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_3.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_1.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_2.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_3.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_1.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_2.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_3.0,0.0006951521044013037
P_FSQ__FSDHH_Household_food_security_category_2.0,0.002409349382566489
P_FSQ__FSDHH_Household_food_security_category_3.0,0.0
P_FSQ__FSDHH_Household_food_security_category_4.0,0.002860003052577411
P_FSQ__FSDAD_Adult_food_security_category_2.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_3.0,0.005183571138391921
P_FSQ__FSDAD_Adult_food_security_category_4.0,0.0
P_FSQ__FSD151_HH_Emergency_food_received_2.0,0.001922004938420175
P_FSQ__FSQ165_HH_FS_benefit_ever_received_2.0,0.0
