,mean_abs_shap
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_3.0,0.005240297413093111
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_4.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_5.0,0.0
P_PAQ__PAQ605_Vigorous_work_activity_2.0,0.0
P_PAQ__PAQ620_Moderate_work_activity_2.0,0.07750333839688751
P_PAQ__PAQ635_Walk_or_bicycle_2.0,0.0
P_PAQ__PAQ650_Vigorous_recreational_activities_2.0,0.0
P_PAQ__PAQ665_Moderate_recreational_activities_2.0,0.0
P_PUQMEC__PUQ100_Products_used_in_home_to_control_insects_2.0,0.0
P_PUQMEC__PUQ110_Products_used_to_kill_weeds_2.0,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_2,0.005452140936970645
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_3,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_4,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_5,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_2,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_3,0.010060743819221483
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_4,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_2,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_3,0.0023104059353833617
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_4,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_5,0.0
P_SLQ__SLD013_Sleep_hours_weekends_2,0.0
P_SLQ__SLD013_Sleep_hours_weekends_3,0.015408162045401942
P_SLQ__SLD013_Sleep_hours_weekends_4,0.007232779930358813
P_SLQ__SLQ030_How_often_do_you_snore_1.0,0.018881378284493537
P_SLQ__SLQ030_How_often_do_you_snore_2.0,0.0
P_SLQ__SLQ030_How_often_do_you_snore_3.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_1.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_2.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_3.0,0.0
P_SLQ__SLQ050_Ever_told_doctor_had_trouble_sleeping_2.0,0.0014939134243812998
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_1.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_2.0,0.007544630087632642
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_3.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_4.0,0.0
P_SMQ__SMQ020_Smoked_at_least_100_cigarettes_in_life_2.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_1.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_2.0,0.005200218229252171
P_SMQRTU__SMQ681_Smoked_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ851_Used_smokeless_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ863_Used_nicotine_replacement_last_5_days_2.0,0.0
P_SMQRTU__SMDANY_Used_any_tobacco_product_last_5_days_2.0,0.0
P_SMQSHS__SMQ856_Last_7_d_worked_at_job_not_at_home_2.0,0.0
P_SMQSHS__SMQ860_Last_7_d_spent_time_in_a_restaurant_2.0,0.0
P_SMQSHS__SMQ866_Last_7_d_spent_time_in_a_bar_2.0,0.0
P_SMQSHS__SMQ870_Last_7_d_rode_in_a_car_2.0,0.0
P_SMQSHS__SMQ872_Last_7_d_someone_smoked_in_car_2.0,0.0
P_SMQSHS__SMQ874_Last_7_d_spent_time_in_another_home_2.0,0.0
P_SMQSHS__SMQ878_Last_7_d_in_other_indoor_area_2.0,0.003351480304952205
P_SMQSHS__SMQ940_Last_7_d_someone_used_e_cigs_indoors_2.0,0.0
P_WHQ__WHQ030_How_do_you_consider_your_weight_2.0,0.0017952865585558425
P_WHQ__WHQ030_How_do_you_consider_your_weight_3.0,0.031781831188105646
P_WHQ__WHQ040_Like_to_weigh_more_less_or_same_2.0,0.004663555205914776
