,mean_abs_shap
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_2.0,0.0009083741
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_3.0,0.0
P_HEPB_S__LBXHBS_Hepatitis_B_Surface_Antibody_2.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_2.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_3.0,0.0034041589
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_3.0,0.0028551398
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_4.0,0.0
P_HEPE__LBDHEG_Hepatitis_E_IgG_anti_HEV_2.0,0.0
P_HEPE__LBDHEM_Hepatitis_E_IgM_anti_HEV_2.0,0.0
P_ALQ__ALQ111_Ever_had_a_drink_of_any_kind_of_alcohol_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_1.0,0.0027183543
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_3.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_4.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_5.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_6.0,0.0049430337
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_7.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_8.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_9.0,0.0046385285
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_10.0,0.0
P_ALQ__ALQ151_Ever_have_4_5_or_more_drinks_every_day_2.0,0.013047175
P_AUQ__AUQ054_General_condition_of_hearing_2.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_3.0,0.0029687297
P_AUQ__AUQ054_General_condition_of_hearing_4.0,0.0003556213
P_AUQ__AUQ054_General_condition_of_hearing_5.0,0.00276122
P_AUQ__AUQ054_General_condition_of_hearing_6.0,0.0
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.13241185
P_BPQ__BPQ080_Doctor_told_you_high_cholesterol_level_2.0,0.07467164
P_DBQ__DBQ700_How_healthy_is_the_diet_2.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_3.0,0.008364529
P_DBQ__DBQ700_How_healthy_is_the_diet_4.0,0.0055846614
P_DBQ__DBQ700_How_healthy_is_the_diet_5.0,0.0016792064
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_1.0,0.026742881
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_2.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_3.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_4.0,0.0
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_2.0,0.00214181
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_3.0,0.0013093783
P_DBQ__CBQ596_Heard_of_My_Plate_2.0,0.0064476165
P_DBQ__DBQ930_Main_meal_planner_preparer_2.0,0.0
P_DBQ__DBQ935_Shared_meal_planning_preparing_duty_2.0,0.0
P_DBQ__DBQ940_Main_food_shopper_2.0,0.0
P_DBQ__DBQ945_Shared_food_shopping_duty_2.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_1.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_2.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_3.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_1.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_2.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_3.0,0.00060129823
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_1.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_2.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_3.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_1.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_2.0,0.0
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_3.0,0.0049583344
P_DPQ__DPQ050_Poor_appetite_or_overeating_1.0,0.0003984166
P_DPQ__DPQ050_Poor_appetite_or_overeating_2.0,0.0
P_DPQ__DPQ050_Poor_appetite_or_overeating_3.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_1.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_2.0,0.0
P_DPQ__DPQ060_Feeling_bad_about_yourself_3.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_1.0,0.008546943
P_DPQ__DPQ070_Trouble_concentrating_on_things_2.0,0.0
P_DPQ__DPQ070_Trouble_concentrating_on_things_3.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_1.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_2.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_3.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_1.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_2.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_3.0,0.0
P_FSQ__FSDHH_Household_food_security_category_2.0,0.0028401394
P_FSQ__FSDHH_Household_food_security_category_3.0,0.0
P_FSQ__FSDHH_Household_food_security_category_4.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_2.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_3.0,0.0
P_FSQ__FSDAD_Adult_food_security_category_4.0,0.0
P_FSQ__FSD151_HH_Emergency_food_received_2.0,0.00058764475
P_FSQ__FSQ165_HH_FS_benefit_ever_received_2.0,0.0
P_FSQ__FSD162_HH_WIC_benefit_receive_in_last_12_month_2.0,0.0
P_HEQ__HEQ010_Ever_told_you_have_Hepatitis_B_2.0,0.0
P_HEQ__HEQ030_Ever_told_you_have_Hepatitis_C_2.0,0.0
P_HIQ__HIQ011_Covered_by_health_insurance_2.0,0.0
P_HIQ__HIQ270_Do_plans_cover_prescriptions_2.0,0.0
P_HIQ__HIQ210_Time_when_no_insurance_in_past_year_2.0,0.0
P_HSQ__HSQ590_Blood_ever_tested_for_HIV_virus_2.0,0.0028487674
P_HUQ__HUQ010_General_health_condition_2.0,0.0379652
P_HUQ__HUQ010_General_health_condition_3.0,0.0
